"","x1","text.x","time.x","name.x","party.x","...1","text.y","time.y","name.y","party.y","for_blm","against_blm","topic_blm"
"1",121903,"In the middle of a pandemic that has taken more than 126,000 American lives, 
@realDonaldTrump
 is trying to take healthcare away from 20 million Americans.

Filing your legal brief in the middle of the night won't hide the fact that it's downright shameful.",2020-06-26 15:45:16,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"2",82543,"I think Hazel is even more excited for pheasant hunting season than me!",2020-10-17 17:47:29,"Kristi Noem","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"3",153077,"Gov. Edwards will provide an update on Louisiana's response to Hurricane #Zeta at 10:45 a.m.
: 10:45 a.m.
: http://facebook.com/LouisianaGov
: http://gov.la.gov
#lagov",2020-10-30 14:45:02,"John Bel Edwards","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"4",23518,"In 2004 we began marrying same-sex couples in San Francisco.

5 years ago the Supreme Court affirmed that right.

Now, Alito and Thomas just signaled their wishes to overturn it.

The 
@GOP
 are coming for marriage equality--and Amy Coney Barrett gives them that opportunity.

VOTE.",2020-10-06 15:08:54,"Gavin Newsom","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"5",60576,"Tell me your plan to vote below
and then tag/call/email/text 5 of your friends and ask: 
 
 Are you voting absentee or in-person?  
When and how are you turning in your ballot or are you voting on Election Day?
Which 5 people are you talking to about voting this November?",2020-10-15 15:34:42,"Tony Evers","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"6",166294,"This is the last weekend to enjoy Summer Restaurant Week! All week, we’ve been highlighting local restaurants, and now, we hope you’ll consider supporting them during these unprecedented times. 

To RSVP and learn more visit: http://ramw.org",2020-08-28 16:00:02,"Muriel Bowser","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"7",55764,"Two years ago today, I signed historic legislation that expanded Medicaid eligibility in our Commonwealth.

More than 421,000 newly eligible Virginians have now enrolled in coverage, including nearly 30,000 since the start of the #COVID19 pandemic.",2020-06-07 17:30:03,"Ralph Northam","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"8",103124,"LOOK: Our hospitals currently have 2,723 patients being treated for #COVID19 – a decrease of nearly 1,500 over the past two weeks.

Our Field Medical Stations reported 45 patients.",2020-05-26 15:13:28,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"9",131638,"Proud of 
@HealthyOklahoma
 for its transparency & level of detail in our state's #COVID19 data. 

As we fight this virus, we will continue to provide Oklahomans with the facts so they can have a clear & unfiltered perspective.

Stay up to date and visit 
 
http://coronavirus.health.ok.gov",2020-05-19 13:30:00,"Kevin Stitt","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"10",72361,"I have signed an executive order implementing stage 3 of the #BackOnTrack Indiana roadmap. The executive order can be found here:",2020-05-21 19:47:29,"Eric Holcomb","Republican",NA,NA,NA,NA,NA,NA,NA,NA
