,x1,text,time,name,party,for_blm,against_blm
240,111893,"Beginning today, unless you live in a jurisdiction that is still under Stay at Home, retail can begin in-person shopping at stores, as long as they implemented best practices, and personal services such as hair salons and tattoo shops can open with strict precautions.",2020-05-01 13:05:00,Jared Polis,Democratic,NA,NA
406,82913,"As South Dakota gets “Back to Normal,” let’s continue working together to keep ourselves and our communities healthy. Let’s make smart decisions, and let’s never forget: together, we will get through this. (2/2)",2020-05-01 14:52:47,Kristi Noem,Republican,NA,NA
284,90634,"Read more about the #ResponsibleRestartOhio plan here: 
 http://bit.ly/35j9JbT 
#InThisTogetherOhio
#StaySafeOhio",2020-05-01 15:44:36,Mike DeWine,Republican,NA,NA
671,103801,None,2020-05-01 15:55:54,Phil Murphy,Democratic,NA,NA
940,10343,We'll be discussing the budget guidelines for the 2021-23 biennium at 11 a.m. CT. Join us for an update on the state revenue outlook. Watch here:,2020-05-01 16:01:31,Doug Burgum,Republican,NA,NA
54,103798,"622,000 people are now receiving unemployment benefits from our state.

Another half-billion dollars in payments went out the door last week, for a total of $1.4 billion, and rising.",2020-05-01 17:02:45,Phil Murphy,Democratic,NA,NA
798,103779,We have set up a stand-alone page for renters and landlords on our information hub – http://covid19.nj.gov/renter – and I encourage you to make that your first stop.,2020-05-01 17:19:33,Phil Murphy,Democratic,NA,NA
533,90608,".
@LtGovHusted
: I do want to say that, personally, I don't enjoy wearing a mask. I know most of you don't enjoy it. But I""m going to wear a mask. Not b/c of the order. But b/c there are a lot of people in my life who are vulnerable.",2020-05-01 18:43:20,Mike DeWine,Republican,NA,NA
163,122401,"Based on our current rates of spread, we’re looking at a benchmark that could approach 30 workers per 100,000 residents – but to be clear, that number can and will diminish if we see greater success in our public health measures, like our face-covering requirement.",2020-05-01 19:44:17,J. B. Pritzker,Democratic,NA,NA
894,115349,"Learn more about shopping safety: https://fda.gov/food/food-safety-during-emergencies/shopping-food-during-covid-19-pandemic-information-consumers… 

Learn more about Food Industry Guidance:",2020-05-01 22:27:34,Mike Parson,Republican,NA,NA
544,103742,"13-year-old James Freeman has been using his allowance to buy filament for his 3D printer, which has been turning-out ear guards to make wearing a mask more comfortable. So far, he’s donated 500 of them to front-line workers. He’s doing this all by himself. #NJThanksYou!",2020-05-02 17:20:08,Phil Murphy,Democratic,NA,NA
405,144588,"This is welcome news for the communities affected by the tornadoes. Thank you 
@realDonaldTrump
 for the disaster declaration.",2020-05-02 20:33:27,Henry McMaster,Republican,NA,NA
833,10339,ICYMI: K-12 schools will continue distance learning for the rest of the academic year. We're deeply grateful to our teachers and administrators for developing plans to continue educating North Dakota's students.,2020-05-03 0:09:47,Doug Burgum,Republican,NA,NA
827,103707,"IMPORTANT: Across every region of the state, we continue to see the overall stresses lessening our health care system.",2020-05-04 16:16:46,Phil Murphy,Democratic,NA,NA
134,90590,"As we approach the #ResponsibleRestartOhio opening for retail on May 12 - we remind you that retail can right now do curbside or by appointment service. This won't work for all businesses, but if it works for your retail company you can do this today.",2020-05-04 18:12:12,Mike DeWine,Republican,NA,NA
123,13932,"Had a call with 
@VP
 and fellow governors to discuss Arizona’s partnership with Honeywell to produce N95 masks, continued efforts to increase testing, and resuming elective surgeries and retail business operations. 
@DrCaraChrist
 @AZNationalGuard",2020-05-04 19:26:26,Doug Ducey,Republican,NA,NA
494,46168,"Voters can prepare for the June 2 primary election by:
 Checking their voter registration status at http://VotesPA.com/Status
 Registering or updating their registration at http://Register.VotesPA.com

The deadline to register to vote is only two weeks away: May 18 at 11:59 p.m.",2020-05-04 19:41:13,Tom Wolf,Democratic,NA,NA
411,124905,WATCH: Gov. Ricketts announces the launch of Test Nebraska in Grand Island and Omaha --->,2020-05-04 21:25:42,Pete Ricketts,Republican,NA,NA
297,103688,"Proud to sign the Hunger Free Students’ Bill of Rights Act:
Preventing school districts from denying meals or lunch shaming 
Ensuring homeless students receive free meals
 
No child deserves to be shamed over school lunch debt.
 
Learn more: https://nj.gov/governor/news/news/562020/approved/20200504d.shtml…",2020-05-04 22:26:33,Phil Murphy,Democratic,NA,NA
956,13925,"Today, I’m announcing that barbers and cosmetologists can resume appointment-based services starting Friday, May 8, following 
@CDCgov
 and 
@AZDHS
 guidelines for sanitation and safer practices. That guidance can be found here: https://azgovernor.gov/sites/default/files/guidance_for_barbers_and_cosmetologists-2.pdf… 5/",2020-05-04 22:48:27,Doug Ducey,Republican,NA,NA
114,28022,"I want to extend a personal thank you to the public service professionals serving the commonwealth, especially during these unprecedented times. I couldn't be prouder to serve alongside of you. Thank you for all you do. ^AB #PublicServiceRecognitionWeek",2020-05-05 13:09:24,Andy Beshear,Democratic,NA,NA
453,139471,"The “King of Country” is taking over my Facebook Live this morning.

Join 
@GeorgeStrait
 at 10 AM CT for a Texas-sized story time for children & parents. 

Watch live: http://Facebook.com/TexansforAbbott",2020-05-05 14:17:48,Greg Abbott,Republican,NA,NA
108,103665,"Yesterday:
385 new hospitalizations
232 patients released from our hospitals",2020-05-05 17:12:30,Phil Murphy,Democratic,NA,NA
337,103659,"BREAKING: 
@ConsumerNJ
 will begin standing up a program to grant temporary emergency licenses to recent graduates of nursing, physician assistant, pharmacy, and respiratory care therapy programs who have not yet been able to take and pass their licensing exams.",2020-05-05 17:23:37,Phil Murphy,Democratic,NA,NA
733,90538,"These decisions were not easy.  We did not make them lightly, but they are necessary.  As many of our businesses are making adjustments in this difficult time, so must our government.",2020-05-05 18:12:33,Mike DeWine,Republican,NA,NA
908,122373,"Regions that meet certain thresholds over the next few weeks will be able to move to Phase 3. 

Non-essential manufacturing and other businesses can reopen, including barbershops and salons. State parks can open. All public gatherings of 10 people or fewer can now take place.",2020-05-05 19:54:31,J. B. Pritzker,Democratic,NA,NA
343,122371,"This phase is called ""Revitalization"" because it's when everyone in Illinois will be rebuilding what school and work will look like for a while, until we reach the other side of this pandemic.",2020-05-05 19:56:40,J. B. Pritzker,Democratic,NA,NA
895,133917,"Native women experience violence at alarmingly high rates. Last year I proudly signed into law a task force to examine the causes of this violence. 

Today, we commit to making Minnesota a place where all Minnesotans know their loved ones will get home safe. #RedDressDay",2020-05-05 21:49:00,Tim Walz,Democratic,NA,NA
576,72439,Registration is open now at http://lhi.care/covidtesting.,2020-05-06 12:34:56,Eric Holcomb,Republican,NA,NA
347,159711,"Thanks to the 
@104FighterWing
 for saluting our front-line heroes with an F-15 flyover over health care facilities across the Commonwealth today. 
@TheNationsFirst
 

 #MassSalutes #AirForceSalutes #AFFlyover",2020-05-06 14:09:28,Charlie Baker,Republican,NA,NA
481,98275,"Effective TODAY, all eateries and essential businesses operating as a retail space with a footprint greater than 50,000 square feet are required to have employees wear face-coverings.

My mask protects you, your mask protects me.

We're all in this together. Mask up.",2020-05-06 15:38:25,Michelle Lujan Grisham,Democratic,NA,NA
177,103625,"There are 122 testing sites across the state.

31 sites which are either publicly run or open to the general public can be located at http://covid19.nj.gov/testing.",2020-05-06 17:22:26,Phil Murphy,Democratic,NA,NA
397,139465,"See the statements from 
@TXAG
 and me on the jailing of Dallas Salon Owner Shelley Luther.",2020-05-06 17:48:03,Greg Abbott,Republican,NA,NA
204,115287,"Medical providers should develop and implement public health and safety measures for employees and patients, using http://showmestrong.mo.gov as a guide, in addition to any guidance provided by the Centers for Disease Control and Prevention (
@CDCgov
).",2020-05-06 20:27:04,Mike Parson,Republican,NA,NA
399,122339,"To support our residents who need help to quarantine in a safe space, the state has made available thousands of free hotel rooms for residents who may need to move out of their home as a precautionary measure to make sure they keep their families or roommates safe.",2020-05-06 20:50:58,J. B. Pritzker,Democratic,NA,NA
361,43762,Protocols are now available for indoor gym and recreational facilities managers to implement in order to open in stage 2 of the Idaho Rebounds plan. #idahocovid19,2020-05-06 21:24:08,Brad Little,Republican,NA,NA
505,13906,"Help ensure all Arizona kids can continue to learn, engage and access resources. 
@azcommerce
 and 
@azedschools
 are collecting hotspots for students in need. Details on how to donate 
 https://azcommerce.com/broadband/mobile-hotspot-donation-drive… #AZTogether",2020-05-06 23:13:11,Doug Ducey,Republican,NA,NA
677,55900,"Tomorrow, we will detail the first phase of our gradual approach to safely allowing restricted operations for businesses and limited gatherings. 

We will implement all changes in phases, and we will continue to be guided by data and science.",2020-05-07 19:47:09,Ralph Northam,Democratic,NA,NA
635,13894,"NOW: 
@AZNationalGuard
 is showing our support for medical professionals and frontline workers with a flyover above the Navajo Nation and Northern Arizona communities. #NationalNursesWeek #TheArizonaWay",2020-05-07 20:36:29,Doug Ducey,Republican,NA,NA
511,13892,"Starting tomorrow, retail businesses, cosmetologists and barbers that take necessary precautions to keep customers and employees safe and healthy can resume partial operations. 1/",2020-05-07 20:50:03,Doug Ducey,Republican,NA,NA
271,122320,"As we look toward reopening businesses and jobs with hope and optimism, it’s my promise to every Illinoisan that I won’t rest until we get our residents the support they need to get through this battle.",2020-05-07 21:02:12,J. B. Pritzker,Democratic,NA,NA
290,129295,"Enjoyed meeting with 
@OCFLMayor
 Jerry Demings and small business owners recently at a hair salon in Orlando. Floridians are creative people and together we will find a way to get these good folks back in business.",2020-05-07 21:13:31,Ron DeSantis,Republican,NA,NA
29,133906,"As a parent and teacher, the mental health of our children is a top priority, especially during this pandemic. On Children's Mental Health Awareness Day, we want to make sure our children have the resources they need. 

https://mn.gov/covid19/for-minnesotans/get-help/mental-health.jsp…",2020-05-07 22:04:00,Tim Walz,Democratic,NA,NA
476,176973,"El viernes, el 8 de mayo a la 5 de la tarde, Carolina del Norte entrará en Fase Uno. La siguiente grafica muestra lo que significa Fase Uno para nuestro estado:",2020-05-07 23:22:47,Roy Cooper,Democratic,NA,NA
39,13881,"Americans Need Hope as Well as Safety by 
@peggynoonannyc",2020-05-08 14:03:12,Doug Ducey,Republican,NA,NA
331,46141,"As we look ahead, know that I am continuously working with experts and looking at the latest data to make decisions.

As much as possible, I want things to get things back to normal for all of you. But we can’t make rash decisions that puts the health of Pennsylvanians at risk.",2020-05-08 18:03:31,Tom Wolf,Democratic,NA,NA
790,31015,"As businesses begin to consider reopening, we have made the availability of face masks a priority. In just a few days our online web form has received thousands of requests for millions of masks. Click below to request face masks for eligible businesses.",2020-05-08 19:07:56,Chris Sununu,Republican,NA,NA
