,x1,text,time,name,party,for_blm,against_blm,topic_blm
1,4017,"I promised that Georgia would stop and dismantle gangs that are flooding our streets with drugs, violence, and fear. Thanks to the 
@GBI_GA
 and local law enforcement, we are making good on that commitment. #gapol",2020-10-28 18:20:03,Brian Kemp,Republican,0,1,1
2,4028,"Georgia continues to make progress in the fight against human trafficking. We are grateful for federal, state, and local law enforcement and their commitment to the safety of our families. Together, we will end this evil industry once and for all. #gapol",2020-10-24 14:08:36,Brian Kemp,Republican,0,1,1
3,4040,The Kemp Family proudly supports our brave men and women in uniform. RT if you do too! #BackTheBlue #gapol,2020-10-17 2:29:35,Brian Kemp,Republican,0,1,1
4,4068,Another reason to #BackTheBlue and pray for those who risk their lives to keep us safe from harm. #gapol,2020-09-28 0:17:38,Brian Kemp,Republican,0,1,1
5,4123,"As part of “Operation Not Forgotten”, federal and state law enforcement rescued 39 innocent children and put numerous criminals behind bars. This is another step forward in the fight to end sex trafficking and save lives in Georgia. #gapol",2020-08-28 1:20:31,Brian Kemp,Republican,0,1,1
6,4161,"According to law enforcement officials, the seizure of 375 pounds of heroin last month in Atlanta is the largest bust in Georgia history. More importantly, agents believe this joint operation will cripple drug trafficking in the Southeast for years. #gapol",2020-08-13 12:57:52,Brian Kemp,Republican,0,0,0
7,4175,"Georgia is a state that unapologetically supports our men and women in uniform. During these difficult days, we must protect those who risk their lives to protect us. #BackTheBlue #gapol",2020-08-07 15:00:52,Brian Kemp,Republican,0,1,1
8,4224,"We pray for our local heroes - especially during these challenging times - and offer up our deepest gratitude for their unmatched  commitment to public safety. 

We proudly #BackTheBlue. RT if you do too! #gapol",2020-07-11 15:40:50,Brian Kemp,Republican,0,1,1
9,4233,"I have declared a State of Emergency and called up the 
@GeorgiaGuard
 because the safety of our citizens comes first. This measure will allow troops to protect state property and dispatch state law enforcement officers to patrol our streets.",2020-07-07 0:17:44,Brian Kemp,Republican,0,1,1
10,4234,"Peaceful protests were hijacked by criminals with a dangerous, destructive agenda. Now, innocent Georgians are being targeted, shot, and left for dead. This lawlessness must be stopped and order restored in our capital city.",2020-07-07 0:17:44,Brian Kemp,Republican,0,1,1
11,4235,"In Georgia, we stand against violence and with law enforcement. Rest assured, these criminals will be held accountable for their destructive and dangerous behavior. #gapol",2020-07-05 16:51:01,Brian Kemp,Republican,0,1,1
12,4252,"For years, cartels have used GA as a distribution hub for drugs, weapons, & lives. By working in coordination w/ fed, state, & local law enforcement, we are dismantling their supply chain & protecting communities from dangerous, violent criminals. #gapol",2020-06-25 18:33:08,Brian Kemp,Republican,0,1,1
13,10111,"This specialized law enforcement training at Camp Grafton will create more opportunities for tribal members and others to train closer to home, increasing the supply of BIA & tribal police officers and enhancing the safety of our communities for everyone.",2020-10-09 18:21:21,Doug Burgum,Republican,0,1,1
