state_01,state_02,state_name_01,state_name_02,contig,improvement,p_value,vep_01,index_01,census_reg_01,urban_index_01,White_01,Black_01,Indian_01,Asian_01,Hawaiian_01,Other_01,med_inc_01,population_01,mrp_ideology_01,demshare_pres_01,year_01,policy_updated_01,policy_updated_economic_01,policy_updated_social_01,vep_02,index_02,census_reg_02,urban_index_02,White_02,Black_02,Indian_02,Asian_02,Hawaiian_02,Other_02,med_inc_02,population_02,mrp_ideology_02,demshare_pres_02,year_02,policy_updated_02,policy_updated_economic_02,policy_updated_social_02,dif_urban_index,std_dif_urban_index,dif_White,std_dif_White,dif_Black,std_dif_Black,dif_Indian,std_dif_Indian,dif_Asian,std_dif_Asian,dif_Hawaiian,std_dif_Hawaiian,dif_Other,std_dif_Other,dif_med_inc,std_dif_med_inc,dif_population,std_dif_population,dif_mrp_ideology,std_dif_mrp_ideology,dif_demshare_pres,std_dif_demshare_pres,dif_year,std_dif_year,dif_policy_updated,std_dif_policy_updated,dif_policy_updated_economic,std_dif_policy_updated_economic,dif_policy_updated_social,std_dif_policy_updated_social,dif_index,std_dif_index,dif_census_reg,std_dif_census_reg,dif_vep,std_dif_vep,sim_score,sim_binary,same_census,elect_tie,full_tie,censored_tie
OR,AL,Oregon,Alabama,0,51.600868,.048398938,.7622505046915474,.81088924,4,10.71,.8259,.0189,.0109,.045,.0039,.0954,76855,4237256,-.1602617647145091,.5830715698544173,2020,-2.29261116783982,-2.16743957555293,-1.79623122355669,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,1.1,-.12294766,.15090001,.11068738,.24699999,1.6866182,.0057999999,-.46717337,.031099999,-.1360777,.0035000001,-.12082571,.0557,.1254116,22166,.94374126,787023,-.74014539,.35856992,1.4331309,.21218532,1.0521338,0,,4.9733648,2.0073555,4.0909114,1.729766,4.4018278,2.1071818,.056967318,-.080868945,2,.75381202,.14406407,1.5488625,.013333334,0,0,0,1,0
NC,AL,North Carolina,Alabama,0,,,.7278844982698383,.76182473,2,10.32,.6758,.2135,.0116,.0297,.0007,.0686,60430,10439388,.0472439153142487,.4931581746681328,2020,1.97001775092469,1.33636985730727,1.19916273120351,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,.70999998,-.56656402,.00079999998,-1.1653154,.0524,-.5499894,.0065000001,-.44660172,.015799999,-.36578247,.00030000001,-.28288281,.028899999,-.44569498,5741,-.77134675,5415109,-.15997188,.15106425,-.18597725,.12227193,.015293231,0,,.7107361,-.86232328,.58710217,-.89797908,1.4064339,-.2615332,.007902801,-1.1512936,0,-1.2747456,.10969806,.8552503,.14880952,1,1,0,0,0
AR,AL,Arkansas,Alabama,0,,,.5647418339448571,.70805335,2,9.26,.7537,.152,.0064,.0153,.0035,.0692,50777,3011524,.1835114225410323,.3578756672201685,2020,1.97259339985652,1.30503778526939,1.59723569432375,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,.34999999,-.97605598,.078699999,-.50308615,.1139,.15685216,.0013,-.59941953,.0014,-.58197516,.0031000001,-.14108285,.0295,-.43290901,3912,-.96232975,2012755,-.58648849,.014796738,-1.2492341,.013010585,-1.2446591,0,,.7081604,-.86405724,.61843425,-.87448102,1.008361,-.57632369,.045868576,-.32300663,0,-1.2747456,.053444605,-.28011793,.34375,1,1,0,0,0
NJ,AL,New Jersey,Alabama,0,,,.7195035355969399,.74575996,1,12.24,.655,.1339,.0025,.0965,.0004,.1117,85549,9288994,-.1616951066004144,.5807128358679484,2020,-2.92999394483718,-2.32232437301603,-2.59459468630006,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,2.6300001,1.6173934,.02,-1.0020958,.132,.36488196,.0026,-.56121504,.082599998,.63711149,0,-.29807565,.071999997,.47276366,30860,1.8515632,4264715,-.30418444,.36000326,1.4443148,.20982659,1.0249339,0,,5.6107478,2.4364533,4.2457962,1.8459247,5.2001915,2.7385166,.008161962,-1.1456397,1,-.26046681,.1013171,.68609673,.0055555557,0,0,0,0,0
PA,AL,Pennsylvania,Alabama,0,,,.7009650030251587,.79244637,1,11.15,.7937,.1109,.0016,.0351,.0003,.0583,70789,13002700,.008511830924437,.5058920525934906,2020,-.0500580386771865,-.606903498567464,.480765832113714,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,1.54,.37754247,.1187,-.16304545,.155,.62922925,.0035000001,-.53476584,.021199999,-.2847102,.000099999997,-.29301137,.0186,-.66518742,16100,.31033343,7978421,.16136307,.18979633,.11623824,.1350058,.16213453,0,,2.7308118,.4976283,2.5303755,.55941391,2.1248307,.30656478,.038524449,-.48323107,1,-.26046681,.082778566,.31193188,.004901961,0,0,0,0,0
KS,AL,Kansas,Alabama,0,225.26845,.00015162524,.6566092897533185,.74258441,3,10.12,.8296,.0569,.0076,.0299,.0008,.0752,73082,2937880,.0689247056591136,.4250657174436865,2020,1.08623148190818,1.09120488803601,.843616565398298,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,.50999999,-.79405951,.15459999,.14214104,.20900001,1.2498708,.0024999999,-.56415385,.016000001,-.36277977,.00039999999,-.27781853,.035500001,-.3050493,18393,.54976702,2086399,-.57725656,.12938346,-.35514629,.054179467,-.76991814,0,,1.5945224,-.26734236,.83226711,-.71411318,1.7619801,.01962762,.011337519,-1.0763595,1,-.26046681,.038422853,-.58330321,.080882356,1,0,0,1,0
ND,AL,North Dakota,Alabama,0,,,.6340248650435035,.8779825,3,9.050000000000001,.8568,.0315,.0515,.0158,.0013,.0432,64115,779094,.1740901280847008,.3278259157710337,2020,1.50470318063066,1.47993570878862,.672731704788613,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,.56,-.73718566,.18179999,.37336871,.2344,1.541802,.046399999,.72598082,.0019,-.57446843,.00089999998,-.25249711,.0035000001,-.98696762,9426,-.38656139,4245185,-.3066327,.024218032,-1.1757225,.043060336,-.89813894,0,,1.1760507,-.54906505,.44353631,-1.0056489,1.9328649,.15476094,.12406057,1.3828828,1,-.26046681,.015838427,-1.0391266,.044943821,1,0,0,0,0
ME,AL,Maine,Alabama,0,,,.7575014299638699,.79687202,1,9.039999999999999,.9368,.0139,.0066,.0114,.0001,.0312,63693,1362359,-.0448804293992012,.5467040458200397,2020,-2.09503480678891,-2.2498820181984,-1.43623071097753,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,.56999999,-.72581089,.26179999,1.0534501,.252,1.7440852,.0015,-.59354192,.0024999999,-.56546044,.00030000001,-.28288281,.0085000005,-.88041788,9004,-.43062636,3661920,-.37975037,.24318859,.53284299,.17581779,.63275987,0,,4.7757888,1.8743438,4.1733541,1.7915955,4.0418272,1.8224984,.042950094,-.38667819,1,-.26046681,.13931499,1.4530114,.027027028,0,0,0,0,0
CA,AL,California,Alabama,0,76.245392,.02525752,.6862115872658418,.73122853,4,12.19,.5605,.0572,.0079,.1483,.0038,.2223,77652,39538223,-.1983560766850321,.6490891136066757,2020,-3.61103971874294,-3.27082065897278,-2.96935656301814,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,2.5799999,1.5605192,.1145,-.19874969,.2087,1.2464226,.0027999999,-.55533749,.1344,1.4148046,.0034,-.12589,.18260001,2.829644,22963,1.0269635,34513944,3.4878371,.39666423,1.73037,.27820286,1.8134181,0,,6.2917933,2.8949456,5.1942925,2.5572667,5.5749531,3.0348728,.022693396,-.82861203,2,.75381202,.068025149,.014162431,.0098522166,0,0,0,1,0
MS,AL,Mississippi,Alabama,1,114.96838,.00409518,.6037052183304936,.66078198,2,8.91,.58,.3768,.0047,.01,.0004,.0282,45134,2961279,.2219578555697477,.4161501417261114,2020,2.93363656023849,2.57831110978148,2.58163174150658,.6181864376688054,.75392193,2,9.609999999999999,.675,.2659,.0051,.0139,.0004,.0397,54689,5024279,.1983081598337674,.3708862516664528,2020,2.68075381822424,1.9234720209242,2.60559665884104,.69999999,-.5779388,.094999999,-.36451957,.1109,.1223721,.00039999999,-.62586874,.0038999999,-.5444417,0,-.29807565,.0115,-.81648803,9555,-.37309131,2063000,-.58018982,.023649696,-1.1801569,.04526389,-.87272853,0,,.25288275,-1.1705585,.6548391,-.84717852,.023964917,-1.3547702,.093139946,.70829761,0,-1.2747456,.014481219,-1.0665193,.41666666,1,1,0,1,0
