"","x1","text","time","name","party","for_blm","against_blm"
"1",23651,"Decency, science, democracy. They're all on the ballot. Who we are as a nation. What we stand for. Most importantly, who we want to be. — 
@JoeBiden
 

VOTE.",2020-08-21 02:57:08,"Gavin Newsom","Democratic",NA,NA
"2",111888,"Join me live today at 1:30 PM for an update on the state’s response to COVID-19. #COVID19Colorado 

Facebook: https://facebook.com/jaredpolis 
YouTube: https://youtube.com/channel/UCy9OxTXxC5bYP4hVXqZrlCQ…",2020-05-04 15:22:24,"Jared Polis","Democratic",NA,NA
"3",176187,"State officials have been working diligently to help North Carolinians hit hard by COVID-19, but we know there’s more to be done. We’ll keep working with local and federal partners to provide needed funds for families, businesses and communities.",2020-09-29 18:56:52,"Roy Cooper","Democratic",NA,NA
"4",108640,"Update on today's severe storm:

- 42,000 
@EversourceCT
 and 22,000 
@UnitedIllum
 customers are without power (In comparison, #Isaias caused 900,000 outages)
- We're sending 
@CTNationalGuard
 teams to help clear damage
- Branford and surrounding towns appear to have been hit hardest",2020-08-27 22:49:03,"Ned Lamont","Democratic",NA,NA
"5",46054,"Employees and customers: Here's how you can report #COVID19 health and safety violations:
 File a complaint with a local health department or a law enforcement agency
 Submit this form to 
@PAHealthDept
: http://on.pa.gov/2A8GlK8
 File a complaint at http://OSHA.gov",2020-05-26 19:09:45,"Tom Wolf","Democratic",NA,NA
"6",108754,"If you experience a power outage, don't assume that one of your neighbors reported it. Contact your utility provider and let them know.
Keep mobile phones fully charged
Beware of downed power lines
Report any outages: https://portal.ct.gov/CTPrepares/Contacts/Power-Companies…",2020-08-04 16:31:38,"Ned Lamont","Democratic",NA,NA
"7",43609,"Do your part to stay well this flu season! #IdahoCOVID19",2020-09-08 21:09:50,"Brad Little","Republican",NA,NA
"8",153358,"Louisianans have exactly two weeks to fill out the census. There are far too many people who haven't been counted yet and everyone needs to participate. Visit http://my2020census.gov, text 'CountMe' to 898-211 or call 844-330-2020 and get counted. #lagov #LouisianaCounts",2020-09-17 01:34:21,"John Bel Edwards","Democratic",NA,NA
"9",68994,"Grateful to meet with Dr. Birx and 
@CDCDirector
 today. For some time now, our data has shown that social gatherings are the main source of COVID-19 spread. Dr. Birx and Redfield confirmed this pattern is nationwide.",2020-10-31 18:09:34,"Gary Herbert","Republican",NA,NA
"10",151372,"As a young man, it was my honor to work for President Ronald Reagan and serve as a Chair of Youth for Reagan and a Delegate to the Republican National Conventions in 1980 and 1984 for the Reagan campaign.",2020-07-27 16:51:26,"Larry Hogan","Republican",NA,NA
"11",40710,"President Trump has approved my emergency disaster declaration requests for several AL counties affected by severe storms & tornadoes in mid-April of this year. Thank you 
@POTUS
 & 
@fema
 for supporting our affected communities as they work to recover. 
@WhiteHouse
 #alpolitics",2020-07-10 22:36:51,"Kay Ivey","Republican",NA,NA
"12",103231,"LOOK: We’re not out of the woods yet.

Our standing in comparison to our neighboring states is improving, but we have much more work to do together.

Keep it up.",2020-05-19 17:19:17,"Phil Murphy","Democratic",NA,NA
"13",29144,"@SBAList",2020-07-15 15:42:22,"Bill Lee","Republican",NA,NA
"14",151431,".
@WBOC
 | Md. Governor Announces Critical Milestone in COVID-19 Testing Strategy",2020-05-19 22:23:34,"Larry Hogan","Republican",NA,NA
"15",30981,"Just got off a zoom call with the Newport Chamber of Commerce. Appreciated hearing about how Newport small businesses are responding to #COVID19 and I provided an update on state level efforts. Big thanks to Widmer & Davis Artisan Distillery for producing hand sanitizer #603Pride",2020-05-15 14:54:45,"Chris Sununu","Republican",NA,NA
"16",111786,"The state, along with fire departments and law enforcement from Larimer, Grand, and Boulder Counties have 73 aircraft, 253 fire engines, 3,617 firefighters and dozens of hand crews and the Colorado National Guard fighting the spread of these devastating wildfires. (1/2)",2020-10-24 22:11:48,"Jared Polis","Democratic",NA,NA
"17",122086,".
@GovPritzker
: Tomorrow is the first day of Phase 3. What will that look like in Rockford?
@StateRepWEST
: A lot of people are excited to get a haircut! It's so important for residents to buy local so we can recharge our economy. My wife & I have been doing our part as well.",2020-05-28 21:14:44,"J. B. Pritzker","Democratic",NA,NA
"18",35310,"After securing the right to vote at home, Montana women trailblazers took the fight to the national stage until the 19th amendment was ratified on this day in 1920. We owe a debt of gratitude to the women of Montana who fought to protect and expand the right to vote.",2020-08-18 17:48:44,"Steve Bullock","Democratic",NA,NA
"19",30550,"I’m asking NH Liquor Enforcement to increase their presence to ensure that all restaurants and bars in the state are following NH’s guidance documents. (/3)",2020-08-11 19:33:28,"Chris Sununu","Republican",NA,NA
"20",176427,"Gov. Cooper and state Emergency Management leaders will share updates on preparations for Isaias at 3 PM today. Watch live here:",2020-08-03 18:57:11,"Roy Cooper","Democratic",NA,NA
"21",121747,"Protecting the health & safety of Illinoisans remains my administration's top priority, and that's why we're providing 60,000 face coverings for our state workers.

The hardworking men and women that keep our government running know we all have to do our part to stop the spread.",2020-07-24 17:46:11,"J. B. Pritzker","Democratic",NA,NA
"22",176281,"COVID-19 is a health crisis that has caused a unique economic challenge. In North Carolina, it has once again exposed our unemployment benefits for the meager bottom of the country payments they are.",2020-08-26 19:11:40,"Roy Cooper","Democratic",NA,NA
"23",128862,"Per Article IV, Section 1(a) of the Florida Constitution, I am directing all 67 counties to submit to my office all measures implemented by local governments in response to the coronavirus pandemic.",2020-09-04 17:26:19,"Ron DeSantis","Republican",NA,NA
"24",82731,"As the saying goes, ""if you ain't taking flak, you ain't over the target."" 

Vice President Pence and 
@POTUS
 have been steady hands in our fight against #COVID19. I'm thankful for their friendship and for all the help. Keep up the good fight 
@VP
!",2020-07-22 22:32:23,"Kristi Noem","Republican",NA,NA
"25",176119,"So even if you’re gathering with friends or extended family or if you’re just running into the store for a second – wear a mask, wait 6 feet apart, and wash your hands. We will succeed if we do this together.",2020-10-15 19:12:33,"Roy Cooper","Democratic",NA,NA
"26",90325,"#Ohio's #COVID19 data for May 19, 2020. 

More in-depth data can be found at http://coronavirus.ohio.gov 

#InThisTogetherOhio
#StaySafeOhio
#ResponsibleRestartOhio",2020-05-19 18:01:54,"Mike DeWine","Republican",NA,NA
"27",27074,"The carelessness of others cost seven people their lives and infected more than 175 people – far beyond the 65 in attendance of the Maine wedding. Our actions have serious consequences. Let’s protect our neighbor. Let’s fight to save lives. #MaskUpKy",2020-10-09 14:35:56,"Andy Beshear","Democratic",NA,NA
"28",39747,"Thank you 
@SecWilkie
, it was a pleasure chatting with you.",2020-10-08 19:28:06,"Mark Gordon","Republican",NA,NA
"29",60642,"I look forward to the good work of this council in addressing disparate health outcomes and building a healthier, more equitable state for every family. Learn more about the Council and find a link to watch their meeting at 1:15 pm here",2020-09-30 17:54:29,"Tony Evers","Democratic",NA,NA
"30",72378,"Indiana Back On Track has five stages. For Cass, Lake and Marion counties – which started Stage 2 after other counties, stage 3 may begin on June 1. Local governments may impose more restrictive guidelines.",2020-05-21 19:47:23,"Eric Holcomb","Republican",NA,NA
"31",72396,"The state’s partnership with Overdose Lifeline, Inc. allows local health departments to devote their resources to the #COVID19 public health emergency.",2020-05-18 13:54:31,"Eric Holcomb","Republican",NA,NA
"32",109318,"HAPPENING NOW: News briefing to discuss the latest updates on COVID-19

WATCH LIVE 
 https://youtu.be/z01EcoaR1kk",2020-05-01 14:45:14,"Ned Lamont","Democratic",NA,NA
"33",102579,"LOOK:
358 patients reported in either critical or intensive care
254 ventilators in use
64 new #COVID19 hospitalizations yesterday
92 discharges yesterday",2020-06-17 17:09:56,"Phil Murphy","Democratic",NA,NA
"34",114799,"Over the month of May, employment increased by nearly 33,900 jobs.

While we still have some work to do, this is a good sign and shows that we are ALREADY making progress.",2020-06-18 20:06:39,"Mike Parson","Republican",NA,NA
"35",146445,"So today and every day, let’s thank officers for their willingness to serve. And let’s commit to working together productively - in good faith - to strengthen our state for all Delawareans. 

#ThankAPoliceOfficerDay",2020-09-19 15:35:11,"John Carney","Democratic",NA,NA
"36",159678,"To immediately meet testing needs, we are glad today that 
@CVSHealth
 announced the launch of 10 drive-through testing sites at locations across the Commonwealth, among the first in their nationwide expansion.
Learn more about the new sites and our plan: https://bit.ly/2AuuztJ",2020-05-14 19:18:30,"Charlie Baker","Republican",NA,NA
"37",121336,"Illinois is reporting 4,015 new cases of COVID-19 today, our highest one-day total on record. While our positivity rate is lower than any of our neighbors, it's consistently growing & that's cause for concern.
 
This pandemic is far from over. Please, wear a mask. #allinillinois",2020-10-15 19:30:09,"J. B. Pritzker","Democratic",NA,NA
"38",101062,"The daily positivity for tests from September 10th was 1.82%.

The statewide rate of transmission is 1.06.",2020-09-14 17:40:33,"Phil Murphy","Democratic",NA,NA
"39",102435,"EFFECTIVE IMMEDIATELY:
Outdoor gatherings may now increase from 100 to 250 persons maximum – still no limit for outdoor religious or political activities
Indoor gatherings are now limited to 25% of capacity – but cannot exceed 100 persons",2020-06-22 18:40:02,"Phil Murphy","Democratic",NA,NA
"40",40371,"While this storm is not expected to have an impact as large as storms we’ve seen move through the Gulf earlier this year, we want to be in the best place possible to respond to anticipated rain, storm surge and mass power outage. #alpolitics #alwx",2020-10-27 20:44:23,"Kay Ivey","Republican",NA,NA
"41",30769,"To date, over 23,000 frontline Medicaid workers from nearly 300 long-term care providers have benefited from the $300 weekly stipend, with over $28 million having gone out the door. (2/2)",2020-06-23 19:06:25,"Chris Sununu","Republican",NA,NA
"42",190391,"Today I am sounding the alarm: we are at risk of COVID-19 getting out of control in Oregon.

Each of us needs to take immediate action to slow the spread of this disease. 

Face coverings are required in some outdoor public spaces and indoor social get-togethers are capped at 10.",2020-07-13 19:00:25,"Kate Brown","Democratic",NA,NA
"43",45741,"Assistance is available for homeowners and renters struggling to make monthly payments due to the COVID-19 pandemic.
 Apply today at http://phfa.org/pacares.",2020-07-28 12:00:01,"Tom Wolf","Democratic",NA,NA
"44",190398,"Across the state, more and more people are supporting wearing face coverings.",2020-07-10 19:34:33,"Kate Brown","Democratic",NA,NA
"45",153467,"Tonight we announced that FEMA has approved an additional seven Louisiana parishes for Individual Assistance following #HurricaneLaura, bringing the total number of parishes where residents are eligible for aid to 16. https://bit.ly/3gQpsDJ #lagov #Laura",2020-09-02 02:25:30,"John Bel Edwards","Democratic",NA,NA
"46",133906,"As a parent and teacher, the mental health of our children is a top priority, especially during this pandemic. On Children's Mental Health Awareness Day, we want to make sure our children have the resources they need. 

https://mn.gov/covid19/for-minnesotans/get-help/mental-health.jsp…",2020-05-07 22:04:00,"Tim Walz","Democratic",NA,NA
"47",166439,"I'll be live shortly, at 6:30 pm, on 
@wolfblitzer
's 
@CNNSitRoom
.",2020-08-12 22:21:14,"Muriel Bowser","Democratic",NA,NA
"48",55607,"Increasing access to rapid testing will help us speed up turnaround times, so we can quickly identify virus outbreaks and contain the spread of #COVID19.

Learn more about this announcement:",2020-08-04 18:41:32,"Ralph Northam","Democratic",NA,NA
"49",77201,".
@USClimate
 Alliance states are leading the fight against climate change. And we are benefiting because of it.
 
I’m joining 
@GovWhitmer
, 
@GovRaimondo
, 
@GovernorVA
 and 
@GovofCO
 to talk about how.
 
WATCH live:",2020-09-23 18:33:31,"Jay Inslee","Democratic",NA,NA
"50",124622,"It was an honor to address the 
@NRA
’s Women’s Leadership Forum Summit. Never stop fighting to protect the Second Amendment! #2A",2020-10-18 18:05:30,"Pete Ricketts","Republican",NA,NA
"51",102560,"Join me live today at 1:00 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: https://youtube.com/njgovernorsoffice…
Twitter: https://twitter.com/GovMurphy
Facebook: https://facebook.com/governorphilmurphy…",2020-06-18 13:09:46,"Phil Murphy","Democratic",NA,NA
"52",114008,"We are committed to giving Missourians the most accurate, up-to-date information as possible regarding COVID-19 in our state. http://Showmestrong.mo.gov now provides Missourians with multiple charts, maps, and measures about COVID-19 and its impact in the state.",2020-09-28 20:12:57,"Mike Parson","Republican",NA,NA
"53",153394,"Already FEMA has registered more than 140,000 households in Louisiana, paying out more than $89 million to survivors of #HurricaneLaura, including more than $59 million for housing assistance and almost $30 million for other needs assistance. #lagov #Laura",2020-09-13 17:31:07,"John Bel Edwards","Democratic",NA,NA
"54",27754,"Today we will have two live updates at 11:30 am and 4 p.m. Watch via http://Facebook.com/GovAndyBeshear or http://YouTube.com/GovAndyBeshear.",2020-06-24 13:30:49,"Andy Beshear","Democratic",NA,NA
"55",90268,"U.S. and Ohio flags are currently being flown at half-staff upon all public buildings and grounds throughout Ohio in honor of the life and service of Annie Glenn. Flags should stay at half-staff until sunset on the day of her memorial service.",2020-05-22 13:01:40,"Mike DeWine","Republican",NA,NA
"56",121772,"Even in our most difficult times, prioritizing young people ought to be a no brainer. 

We're funding over 200 positions here in Peoria that will provide experience and open up career opportunities for our youngest workers.",2020-07-20 23:45:17,"J. B. Pritzker","Democratic",NA,NA
"57",27879,"Cardholders with expiration dates between March 1 and June 30, or those needing a replacement, may apply to receive mailed credential. https://go.usa.gov/xw4y8",2020-05-29 18:14:04,"Andy Beshear","Democratic",NA,NA
